Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
1,1,1016,001,001,262.535407,261.774200,0.596748,0.882101,0.210358,0.289945,3.000000,0.000000,0.000000,3.000000,1.000000,4.000000,-4.000000,1.000000
1,2,1016,001,001,262.535407,261.774200,0.596748,0.882101,0.210358,0.289945,3.000000,0.000000,0.000000,3.000000,1.000000,4.000000,-4.000000,1.000000
1,3,1016,001,001,262.535407,261.774200,0.596748,0.882101,0.210358,0.289945,3.000000,0.000000,0.000000,3.000000,1.000000,4.000000,-4.000000,1.000000
1,4,1016,001,001,262.535407,261.774200,0.596748,0.882101,0.210358,0.289945,3.000000,0.000000,0.000000,3.000000,1.000000,4.000000,-4.000000,1.000000
2,1,1860,001,010,495.900214,491.310587,3.570834,2.801181,2.525753,0.925514,-3.000000,2.000000,-4.000000,-3.000000,1.000000,4.000000,2.000000,-2.000000
2,2,1860,001,010,495.900214,491.310587,3.570834,2.801181,2.525753,0.925514,-3.000000,2.000000,-4.000000,-3.000000,1.000000,4.000000,2.000000,-2.000000
2,3,1860,001,010,495.900214,491.310587,3.570834,2.801181,2.525753,0.925514,-3.000000,2.000000,-4.000000,-3.000000,1.000000,4.000000,2.000000,-2.000000
2,4,1860,001,010,495.900214,491.310587,3.570834,2.801181,2.525753,0.925514,-3.000000,2.000000,-4.000000,-3.000000,1.000000,4.000000,2.000000,-2.000000
3,1,1716,001,011,466.729613,463.388508,0.106073,0.186003,4.504601,0.715855,2.000000,2.000000,-4.000000,4.000000,-2.000000,1.000000,-7.000000,-1.000000
3,2,1716,001,011,466.729613,463.388508,0.106073,0.186003,4.504601,0.715855,2.000000,2.000000,-4.000000,4.000000,-2.000000,1.000000,-7.000000,-1.000000
3,3,1716,001,011,466.729613,463.388508,0.106073,0.186003,4.504601,0.715855,2.000000,2.000000,-4.000000,4.000000,-2.000000,1.000000,-7.000000,-1.000000
3,4,1716,001,011,466.729613,463.388508,0.106073,0.186003,4.504601,0.715855,2.000000,2.000000,-4.000000,4.000000,-2.000000,1.000000,-7.000000,-1.000000
4,1,1280,001,110,350.047210,347.409048,4.030057,4.289201,4.401154,0.753659,3.000000,0.000000,0.000000,4.000000,-2.000000,1.000000,-3.000000,-1.000000
4,2,1280,001,110,350.047210,347.409048,4.030057,4.289201,4.401154,0.753659,3.000000,0.000000,0.000000,4.000000,-2.000000,1.000000,-3.000000,-1.000000
4,3,1280,001,110,350.047210,347.409048,4.030057,4.289201,4.401154,0.753659,3.000000,0.000000,0.000000,4.000000,-2.000000,1.000000,-3.000000,-1.000000
4,4,1280,001,110,350.047210,347.409048,4.030057,4.289201,4.401154,0.753659,3.000000,0.000000,0.000000,4.000000,-2.000000,1.000000,-3.000000,-1.000000
5,1,1280,001,111,350.047210,355.838275,1.991476,0.237921,2.267503,1.654367,0.000000,1.000000,12.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
5,2,1280,001,111,350.047210,355.838275,1.991476,0.237921,2.267503,1.654367,0.000000,1.000000,12.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
5,3,1280,001,111,350.047210,355.838275,1.991476,0.237921,2.267503,1.654367,0.000000,1.000000,12.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
5,4,1280,001,111,350.047210,355.838275,1.991476,0.237921,2.267503,1.654367,0.000000,1.000000,12.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
6,1,2156,010,001,571.860029,569.743846,4.287452,3.670512,2.123697,0.370053,2.000000,2.000000,3.000000,-4.000000,4.000000,3.000000,-3.000000,7.000000
6,2,2156,010,001,571.860029,569.743846,4.287452,3.670512,2.123697,0.370053,2.000000,2.000000,3.000000,-4.000000,4.000000,3.000000,-3.000000,7.000000
6,3,2156,010,001,571.860029,569.743846,4.287452,3.670512,2.123697,0.370053,2.000000,2.000000,3.000000,-4.000000,4.000000,3.000000,-3.000000,7.000000
6,4,2156,010,001,571.860029,569.743846,4.287452,3.670512,2.123697,0.370053,2.000000,2.000000,3.000000,-4.000000,4.000000,3.000000,-3.000000,7.000000
7,1,7036,010,010,1919.815812,1916.111290,0.570824,0.512177,1.851312,0.192962,-3.000000,7.000000,-5.000000,-4.000000,-2.000000,9.000000,-3.000000,-6.000000
7,2,7036,010,010,1919.815812,1916.111290,0.570824,0.512177,1.851312,0.192962,-3.000000,7.000000,-5.000000,-4.000000,-2.000000,9.000000,-3.000000,-6.000000
7,3,7036,010,010,1919.815812,1916.111290,0.570824,0.512177,1.851312,0.192962,-3.000000,7.000000,-5.000000,-4.000000,-2.000000,9.000000,-3.000000,-6.000000
7,4,7036,010,010,1919.815812,1916.111290,0.570824,0.512177,1.851312,0.192962,-3.000000,7.000000,-5.000000,-4.000000,-2.000000,9.000000,-3.000000,-6.000000
8,1,2780,010,011,776.095754,772.314180,0.976421,1.334085,1.832050,0.487256,3.000000,-1.000000,1.000000,6.000000,5.000000,1.000000,5.000000,-2.000000
8,2,2780,010,011,776.095754,772.314180,0.976421,1.334085,1.832050,0.487256,3.000000,-1.000000,1.000000,6.000000,5.000000,1.000000,5.000000,-2.000000
8,3,2780,010,011,776.095754,772.314180,0.976421,1.334085,1.832050,0.487256,3.000000,-1.000000,1.000000,6.000000,5.000000,1.000000,5.000000,-2.000000
8,4,2780,010,011,776.095754,772.314180,0.976421,1.334085,1.832050,0.487256,3.000000,-1.000000,1.000000,6.000000,5.000000,1.000000,5.000000,-2.000000
9,1,1744,010,110,490.165739,486.372667,4.030057,3.182516,3.714653,0.773835,0.000000,3.000000,4.000000,1.000000,-2.000000,1.000000,3.000000,2.000000
9,2,1744,010,110,490.165739,486.372667,4.030057,3.182516,3.714653,0.773835,0.000000,3.000000,4.000000,1.000000,-2.000000,1.000000,3.000000,2.000000
